,date,hebrewDate,hebrewMonth,hebrewYear
0,2001-01-01,"(5761, 10, 6)",TEVETH,5761
1,2001-01-02,"(5761, 10, 7)",TEVETH,5761
2,2001-01-03,"(5761, 10, 8)",TEVETH,5761
3,2001-01-04,"(5761, 10, 9)",TEVETH,5761
4,2001-01-05,"(5761, 10, 10)",TEVETH,5761
5,2001-01-06,"(5761, 10, 11)",TEVETH,5761
6,2001-01-07,"(5761, 10, 12)",TEVETH,5761
7,2001-01-08,"(5761, 10, 13)",TEVETH,5761
8,2001-01-09,"(5761, 10, 14)",TEVETH,5761
9,2001-01-10,"(5761, 10, 15)",TEVETH,5761
10,2001-01-11,"(5761, 10, 16)",TEVETH,5761
11,2001-01-12,"(5761, 10, 17)",TEVETH,5761
12,2001-01-13,"(5761, 10, 18)",TEVETH,5761
13,2001-01-14,"(5761, 10, 19)",TEVETH,5761
14,2001-01-15,"(5761, 10, 20)",TEVETH,5761
15,2001-01-16,"(5761, 10, 21)",TEVETH,5761
16,2001-01-17,"(5761, 10, 22)",TEVETH,5761
17,2001-01-18,"(5761, 10, 23)",TEVETH,5761
18,2001-01-19,"(5761, 10, 24)",TEVETH,5761
19,2001-01-20,"(5761, 10, 25)",TEVETH,5761
20,2001-01-21,"(5761, 10, 26)",TEVETH,5761
21,2001-01-22,"(5761, 10, 27)",TEVETH,5761
22,2001-01-23,"(5761, 10, 28)",TEVETH,5761
23,2001-01-24,"(5761, 10, 29)",TEVETH,5761
24,2001-01-25,"(5761, 11, 1)",SHEVAT,5761
25,2001-01-26,"(5761, 11, 2)",SHEVAT,5761
26,2001-01-27,"(5761, 11, 3)",SHEVAT,5761
27,2001-01-28,"(5761, 11, 4)",SHEVAT,5761
28,2001-01-29,"(5761, 11, 5)",SHEVAT,5761
29,2001-01-30,"(5761, 11, 6)",SHEVAT,5761
30,2001-01-31,"(5761, 11, 7)",SHEVAT,5761
31,2001-02-01,"(5761, 11, 8)",SHEVAT,5761
32,2001-02-02,"(5761, 11, 9)",SHEVAT,5761
33,2001-02-03,"(5761, 11, 10)",SHEVAT,5761
34,2001-02-04,"(5761, 11, 11)",SHEVAT,5761
35,2001-02-05,"(5761, 11, 12)",SHEVAT,5761
36,2001-02-06,"(5761, 11, 13)",SHEVAT,5761
37,2001-02-07,"(5761, 11, 14)",SHEVAT,5761
38,2001-02-08,"(5761, 11, 15)",SHEVAT,5761
39,2001-02-09,"(5761, 11, 16)",SHEVAT,5761
40,2001-02-10,"(5761, 11, 17)",SHEVAT,5761
41,2001-02-11,"(5761, 11, 18)",SHEVAT,5761
42,2001-02-12,"(5761, 11, 19)",SHEVAT,5761
43,2001-02-13,"(5761, 11, 20)",SHEVAT,5761
44,2001-02-14,"(5761, 11, 21)",SHEVAT,5761
45,2001-02-15,"(5761, 11, 22)",SHEVAT,5761
46,2001-02-16,"(5761, 11, 23)",SHEVAT,5761
47,2001-02-17,"(5761, 11, 24)",SHEVAT,5761
48,2001-02-18,"(5761, 11, 25)",SHEVAT,5761
49,2001-02-19,"(5761, 11, 26)",SHEVAT,5761
50,2001-02-20,"(5761, 11, 27)",SHEVAT,5761
51,2001-02-21,"(5761, 11, 28)",SHEVAT,5761
52,2001-02-22,"(5761, 11, 29)",SHEVAT,5761
53,2001-02-23,"(5761, 11, 30)",SHEVAT,5761
54,2001-02-24,"(5761, 12, 1)",ADAR,5761
55,2001-02-25,"(5761, 12, 2)",ADAR,5761
56,2001-02-26,"(5761, 12, 3)",ADAR,5761
57,2001-02-27,"(5761, 12, 4)",ADAR,5761
58,2001-02-28,"(5761, 12, 5)",ADAR,5761
59,2001-03-01,"(5761, 12, 6)",ADAR,5761
60,2001-03-02,"(5761, 12, 7)",ADAR,5761
61,2001-03-03,"(5761, 12, 8)",ADAR,5761
62,2001-03-04,"(5761, 12, 9)",ADAR,5761
63,2001-03-05,"(5761, 12, 10)",ADAR,5761
64,2001-03-06,"(5761, 12, 11)",ADAR,5761
65,2001-03-07,"(5761, 12, 12)",ADAR,5761
66,2001-03-08,"(5761, 12, 13)",ADAR,5761
67,2001-03-09,"(5761, 12, 14)",ADAR,5761
68,2001-03-10,"(5761, 12, 15)",ADAR,5761
69,2001-03-11,"(5761, 12, 16)",ADAR,5761
70,2001-03-12,"(5761, 12, 17)",ADAR,5761
71,2001-03-13,"(5761, 12, 18)",ADAR,5761
72,2001-03-14,"(5761, 12, 19)",ADAR,5761
73,2001-03-15,"(5761, 12, 20)",ADAR,5761
74,2001-03-16,"(5761, 12, 21)",ADAR,5761
75,2001-03-17,"(5761, 12, 22)",ADAR,5761
76,2001-03-18,"(5761, 12, 23)",ADAR,5761
77,2001-03-19,"(5761, 12, 24)",ADAR,5761
78,2001-03-20,"(5761, 12, 25)",ADAR,5761
79,2001-03-21,"(5761, 12, 26)",ADAR,5761
80,2001-03-22,"(5761, 12, 27)",ADAR,5761
81,2001-03-23,"(5761, 12, 28)",ADAR,5761
82,2001-03-24,"(5761, 12, 29)",ADAR,5761
83,2001-03-25,"(5761, 1, 1)",NISAN,5761
84,2001-03-26,"(5761, 1, 2)",NISAN,5761
85,2001-03-27,"(5761, 1, 3)",NISAN,5761
86,2001-03-28,"(5761, 1, 4)",NISAN,5761
87,2001-03-29,"(5761, 1, 5)",NISAN,5761
88,2001-03-30,"(5761, 1, 6)",NISAN,5761
89,2001-03-31,"(5761, 1, 7)",NISAN,5761
90,2001-04-01,"(5761, 1, 8)",NISAN,5761
91,2001-04-02,"(5761, 1, 9)",NISAN,5761
92,2001-04-03,"(5761, 1, 10)",NISAN,5761
93,2001-04-04,"(5761, 1, 11)",NISAN,5761
94,2001-04-05,"(5761, 1, 12)",NISAN,5761
95,2001-04-06,"(5761, 1, 13)",NISAN,5761
96,2001-04-07,"(5761, 1, 14)",NISAN,5761
97,2001-04-08,"(5761, 1, 15)",NISAN,5761
98,2001-04-09,"(5761, 1, 16)",NISAN,5761
99,2001-04-10,"(5761, 1, 17)",NISAN,5761
100,2001-04-11,"(5761, 1, 18)",NISAN,5761
101,2001-04-12,"(5761, 1, 19)",NISAN,5761
102,2001-04-13,"(5761, 1, 20)",NISAN,5761
103,2001-04-14,"(5761, 1, 21)",NISAN,5761
104,2001-04-15,"(5761, 1, 22)",NISAN,5761
105,2001-04-16,"(5761, 1, 23)",NISAN,5761
106,2001-04-17,"(5761, 1, 24)",NISAN,5761
107,2001-04-18,"(5761, 1, 25)",NISAN,5761
108,2001-04-19,"(5761, 1, 26)",NISAN,5761
109,2001-04-20,"(5761, 1, 27)",NISAN,5761
110,2001-04-21,"(5761, 1, 28)",NISAN,5761
111,2001-04-22,"(5761, 1, 29)",NISAN,5761
112,2001-04-23,"(5761, 1, 30)",NISAN,5761
113,2001-04-24,"(5761, 2, 1)",IYYAR,5761
114,2001-04-25,"(5761, 2, 2)",IYYAR,5761
115,2001-04-26,"(5761, 2, 3)",IYYAR,5761
116,2001-04-27,"(5761, 2, 4)",IYYAR,5761
117,2001-04-28,"(5761, 2, 5)",IYYAR,5761
118,2001-04-29,"(5761, 2, 6)",IYYAR,5761
119,2001-04-30,"(5761, 2, 7)",IYYAR,5761
120,2001-05-01,"(5761, 2, 8)",IYYAR,5761
